PMDN,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
(27-2015) Industri peralatan listrik,"1,886.0","38,779.4","24,498.5","2,048.0","146,899.6","50,664.5","143,797.8","71,415.0",,"458,925.9",,"13,145.2","281,455.0","2,640.2","17,582.4","46,038.9","5,000.0",,"599,675.4","108,716.0","154,143.2","1,001,359.2","200,593.2","124,271.2","177,341.0","535,036.5","874,579.4","1,160,079.5","821,913.4","356,375.1","503,691.7"
(28-2015) Industri mesin dan perlengkapan ytdl,,"5,475.5",,"12,876.8","78,141.6","14,781.4","30,131.4","24,854.1","275,959.9","30,471.9","215,499.3","39,002.4",,"85,500.0","13,016.9",,"19,152.0","34,676.7","165,668.5","593,410.5","33,970.0","48,593.8","30,991.8","9,674.6","269,990.3","122,508.4","205,103.1","231,429.5","301,841.6","272,533.1","135,841.9"
"(29-2015) Industri kendaraan bermotor, trailer dan semi trailer","29,068.7","19,304.6",,"28,467.0","46,585.0","45,275.3","54,841.5","93,422.2","154,388.3","43,470.2","948,515.1","2,147.0","1,900.0","57,668.0",,"179,059.0","109,593.8","269,980.2","304,364.8","53,112.9","133,823.6","300,735.0","327,423.7","527,073.8","177,231.3","832,067.6","738,075.5","320,721.9","425,982.9","269,485.5","518,154.7"
(30-2015) Industri alat angkutan lainnya,"8,153.8","8,857.7","1,256.0","1,654,933.0",410.2,,"16,702.7","4,495.9",,,"30,104.8","67,902.5","92,737.0",,"45,000.0","105,575.5","16,960.3","17,700.0","6,102.3","6,520.0","161,110.5","200,848.1","203,441.6","1,455,428.3","207,019.9","125,767.1","566,451.2","363,368.7","1,015,703.1","662,088.5","1,632,474.9"
(31-2015) Industri furnitur,"33,340.8","21,172.2","11,633.8","13,226.7","21,832.0","7,169.3","11,089.0","6,595.7","13,952.2","50,119.1","152,900.7","22,080.0","30,820.6","5,948.0","9,305.0","63,531.2","9,500.0","36,514.5","15,000.0","176,686.3",,,"11,517.2","6,825.9","28,392.5","39,306.4","336,934.4","256,122.9","161,695.4","186,410.0","933,171.9"
(33-2015) Reparasi dan pemasangan mesin dan peralatan,,,,,,,,,,,,,,,,,,,,,,,,"23,608.9",,"9,100.9","288,843.0","24,886.1","1,287,546.8","304,049.2","400,028.1"
(32-2015) Industri pengolahan lainnya,"1,590.2","4,793.0","11,851.5","15,730.6","34,715.1","7,507.5","17,529.5","22,767.3","3,315.0","11,092.9","2,704.1","17,556.0",328.4,"5,777.9","6,634.3","14,907.0",,,"3,000.0","60,540.0",,"4,027.4",16.7,"51,853.5","7,694.6",,"328,558.7","73,546.5","142,126.7","1,228,885.5","419,751.4"
"(35-2015) Pengadaan listrik, gas, uap/air panas dan udara dingin",,"3,173.8","2,084.2","4,971.0","180,700.9","4,066.5","465,760.8","21,888.4","184,414.0","1,810,166.7","5,947.0","138,661.0","208,972.7",,,"201,000.0","78,000.0","743,616.6","519,793.2","2,441,029.2","1,089,047.0","5,420,681.2","2,460,765.8","20,314,260.8","34,019,352.2","17,446,488.3","11,255,548.4","21,831,959.3","26,306,605.1","29,347,527.1","24,672,420.1"
(37-2015) Pengelolaan air limbah,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.5,"1,025.0","2,699.7","84,289.9"
(41-2015) Konstruksi gedung,"111,476.5","222,335.5","151,114.7","31,149.3","657,977.9","172,456.9","644,079.1","154,751.0","33,199.9","233,154.0","466,377.8","343,755.4","186,070.0","118,590.9","1,748,623.9",468.0,"477,470.2","655,885.6","856,269.5","2,370,252.9","16,900.2","36,385.2","1,073,499.8","2,740,917.9","3,087,459.1","1,827,428.0","1,288,700.1","430,206.0","5,223,308.5","6,966,172.0","1,486,070.6"
(38-2015) Pengelolaan dan daur ulang sampah,,,,,,,,,,,,,,,,,,0.0,,,,,,,"2,206.0","2,450.0","22,718.0","44,240.0","50,997.6","59,829.7","250,851.0"
(36-2015) Pengelolaan air,,,,,,,,,,"4,674.0",,,,,,,"10,000.0",,,,,,,"60,630.8",16.4,,"18,289.0","1,808.8","4,200.0","128,221.8","1,496,277.3"
