PMA,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
(49-2015) Angkutan darat dan angkutan melalui saluran pipa,,,,,,,4100.00,4565.00,1350.00,,,996.90,4734.40,5600.00,50.00,900.00,,,,1250.00,0.00,,1815.80,41.80,35660.30,3702.20,30035.50,187189.70,566155.90,1239947.70,949470.60
(52-2015) Pergudangan dan aktivitas penunjang angkutan,,,,,21270.30,,17523.00,22199.70,230.40,51348.00,30949.90,19057.10,14304.80,32253.50,7385.20,37445.60,14655.30,17870.20,12717.00,44541.10,74337.60,71490.80,224427.40,34349.10,129898.30,234989.90,264642.70,255089.60,286019.40,204730.90,188040.90
(51-2015) Angkutan udara,,,,,,,,,,,,,,,100.00,20874.80,,,130630.70,2500.00,0.00,8666.70,20251.10,28986.20,17162.00,1011.20,750.90,23157.90,231901.70,1860.50,0.00
(55-2015) Penyediaan akomodasi,59340.90,66037.40,,32426.60,372996.00,67083.00,387097.70,75642.50,83534.40,106880.40,401565.90,32507.40,17126.40,921.10,2771.90,173867.00,70997.40,124099.50,87776.20,220602.10,284417.70,135550.00,597679.60,254154.20,263723.90,482554.80,556325.30,822064.20,477999.60,433732.90,337298.00
(53-2015) Aktivitas pos dan kurir,,,,,,,,,,,,,,,,,,,,,29940.00,,,,,0.00,33.40,2365.60,691.70,40350.40,24630.20
(56-2015) Penyediaan makanan dan minuman,,,,,,,,,4813.90,0.00,440.00,564.00,250.00,256101.70,445.00,6637.50,7868.80,3225.00,67852.20,19920.90,1850.30,2760.00,8481.80,12667.40,21482.00,41392.70,63608.20,83705.70,96048.50,77231.00,46616.90
(58-2015) Aktivitas penerbitan,,,,,1406.50,,,,7750.00,450.00,,,,,550.00,275.90,,148.30,,625.00,840.90,6594.70,96.00,650.00,1225.00,3785.00,2522.40,6976.50,10568.50,2684.50,6055.00
"(59-2015) Aktivitas produksi gambar bergerak, video dan program televisi, perekaman suara dan penerbitan musik",,,,,,,,,,,,,,,,,,,,,,,,0.00,,0.00,130.60,40253.20,41038.00,91204.40,13342.60
(60-2015) Aktivitas penyiaran dan pemrograman,,,,,,,,,,,,,,,,,,,,,,,18.70,0.00,3436.10,17451.60,119625.40,101299.50,16593.50,1729.60,27.80
(61-2015) Telekomunikasi,,,,,,19584.90,153936.20,5108.10,,11778.10,484323.30,91111.50,507575.40,340237.20,77040.60,2104084.60,10312.30,3194753.20,8370197.90,4042512.80,2870884.50,1811817.40,1592530.30,502420.60,688996.00,2344623.30,136592.10,242360.30,420965.00,2781401.50,1076508.40
"(62-2015) Aktivitas pemrograman, konsultasi komputer dan kegiatan ybdi",,,,,,1400.00,,2200.00,,1159.10,5211.50,830.00,12067.30,1660.30,1033.40,5775.10,1256.00,14592.20,7649.60,2572.60,2603.80,4338.80,10044.70,13111.90,11303.30,7486.40,31674.10,34281.10,25219.70,16295.60,31697.50
(63-2015) Aktivitas jasa informasi,,,,,750.00,,,1530.00,500.00,3515.00,,1900.80,1262.50,5093.70,366.20,453.00,,,800.00,,,2033.80,13494.10,15394.70,34175.70,10774.20,37052.60,81916.40,124558.20,69641.40,403890.20
(68-2015) Real estat,,27600.00,33351.00,46873.00,111022.20,120010.10,177303.10,144368.80,476986.90,16362.80,148293.30,133933.30,11276.60,147.10,17023.30,199185.20,184425.70,61489.00,170227.60,254018.90,1025969.50,152061.30,328457.20,490451.90,757166.40,1473575.30,1677606.80,2279343.40,3384014.10,2252719.70,1733511.50
(70-2015) Aktivitas kantor pusat dan konsultasi manajemen,,,,,,,,,,1866.20,994.00,4203.00,3576.50,15520.80,425.00,111266.70,415.00,221878.50,414.10,350.00,17073.70,91824.10,425431.90,155039.20,116463.70,39365.80,145785.40,78896.20,108815.50,75704.30,38608.40
(71-2015) Aktivitas arsitektur dan keinsinyuran; analisis dan uji teknis,,1161.00,1383.20,639.10,5756.80,7681.40,10917.40,5029.50,10215.10,149687.00,76525.80,252608.00,1909.70,3986.10,4396.10,13142.10,5482.80,7657.90,8227.40,1899.50,69146.50,13166.50,79604.80,23220.70,12284.00,53094.90,39959.60,7974.30,10656.70,20485.30,14653.10
(93-2015) Aktivitas olahraga dan rekreasi lainnya,,2000.00,,785.40,1887.20,33654.00,144253.00,1340.00,1956.50,794.00,154414.70,2212.30,752.80,503.00,5471.00,15339.40,6263.70,18566.80,4349.80,6962.60,625.50,2874.50,3514.50,7612.20,11136.10,6123.10,30530.20,39529.80,50011.80,19029.50,40523.90
"(91-2015) Perpustakaan, arsip, museum dan kegiatan kebudayaan lainnya",,,,,,,,,,,,,,,,,2250.00,250.00,,,,,,,47.60,750.00,6242.10,10884.20,46.20,614.10,1.80
(86-2015) Aktivitas kesehatan manusia,,,,,,,44634.10,,,7747.20,,,,42.50,67717.10,100.00,9634.40,34609.00,10286.80,9029.20,785.20,14051.70,1416.70,306.20,4168.10,2521.50,1892.70,18953.80,19700.40,82955.40,38660.20
"(79-2015) Aktivitas agen perjalanan, penyelenggara tur dan jasa reservasi lainnya",,831.20,2091.60,68176.30,1913.80,,581.80,687.10,1133.20,382.20,1434.00,832.40,948.20,4686.10,6420.00,5783.10,7143.00,3266.50,8325.60,8507.90,3754.50,66761.10,5504.30,332.10,5408.00,2906.40,5330.20,12695.00,2768.70,10329.40,5644.30
(85-2015) Pendidikan,,,,,,,,,,,,,,100.00,52.40,,100.00,2309.60,200.00,1104.00,0.00,1072.20,1829.50,3250.80,5088.40,1763.40,5905.00,6030.70,5216.00,674.90,1638.30
