Year,Reporter,Reporter ISO,Commodity Code,Commodity,Netweight (kg),Trade Value (US$)
2011,Hungary,HUN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,50926,611000
2012,Iceland,ISL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,786,4933
2013,Iceland,ISL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,546,9643
2014,Iceland,ISL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,11,428
2015,Iceland,ISL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,8,399
2011,Iceland,ISL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,97,1754
2012,Indonesia,IDN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1394653,1903032
2013,Indonesia,IDN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1551392,2178001
2014,Indonesia,IDN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1133459,1901767
2015,Indonesia,IDN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,506303,811566
2011,Indonesia,IDN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,1277629,1123081
2013,Iran,IRN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,1923030,873897
2014,Iran,IRN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,320441,448149
2015,Iran,IRN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,279420,359169
2012,Ireland,IRL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,16179,264362
2013,Ireland,IRL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,27157,607821
2014,Ireland,IRL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,6561,50858
2015,Ireland,IRL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,5607,71251
2011,Ireland,IRL,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,18601,353014
2012,Israel,ISR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,,647000
2013,Israel,ISR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,756,12000
2014,Israel,ISR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,4004,21000
2015,Israel,ISR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,,5000
2011,Israel,ISR,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,,735000
2012,Italy,ITA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,99342502,320198976
2013,Italy,ITA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,70594739,233412338
2014,Italy,ITA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,52186085,203463357
2015,Italy,ITA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,38356379,123081632
2011,Italy,ITA,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,61593006,294808588
2011,C̫te d'Ivoire,CIV,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,163200,6930
2012,Japan,JPN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,249228,4548812
2013,Japan,JPN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,291505,1533088
2014,Japan,JPN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,238451,1993398
2015,Japan,JPN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel,116618,1772099
2011,Japan,JPN,7218,Stainless steel in ingots or other primary forms; semi-finished products of stainless steel.,486394,6431351
